the,DT,限定詞
be,VB,動詞 (原形)
and,CC,調整接続詞
of,IN,前置詞または従属接続詞
to,TO,前置詞to
a,DT,限定詞
in,IN,前置詞または従属接続詞
have,VB,動詞 (原形)
it,PRP,人称代名詞 (PP)
you,PRP,人称代名詞 (PP)
he,PRP,人称代名詞 (PP)
for,IN,前置詞または従属接続詞
they,PRP,人称代名詞 (PP)
not,RB,副詞
that,IN,前置詞または従属接続詞
we,PRP,人称代名詞 (PP)
on,IN,前置詞または従属接続詞
with,IN,前置詞または従属接続詞
this,DT,限定詞
i,NN,名詞
do,VB,動詞 (原形)
as,IN,前置詞または従属接続詞
at,IN,前置詞または従属接続詞
she,PRP,人称代名詞 (PP)
but,CC,調整接続詞
from,IN,前置詞または従属接続詞
by,IN,前置詞または従属接続詞
will,MD,法
or,CC,調整接続詞
say,VB,動詞 (原形)
go,VB,動詞 (原形)
so,RB,副詞
all,DT,限定詞
if,IN,前置詞または従属接続詞
one,CD,基数
would,MD,法
about,IN,前置詞または従属接続詞
can,MD,法
which,WDT,Wh 限定詞
there,RB,副詞
know,VB,動詞 (原形)
more,RBR,副詞 (比較級)
get,VB,動詞 (原形)
who,WP,wh 代名詞
like,IN,前置詞または従属接続詞
when,WRB,Wh 副詞
think,NN,名詞
make,VB,動詞 (原形)
time,NN,名詞
see,VB,動詞 (原形)
what,WP,wh 代名詞
up,RB,副詞
some,DT,限定詞
other,JJ,形容詞
out,IN,前置詞または従属接続詞
good,JJ,形容詞
people,NNS,名詞 (複数形)
year,NN,名詞
take,VB,動詞 (原形)
no,DT,限定詞
well,RB,副詞
because,IN,前置詞または従属接続詞
very,RB,副詞
just,RB,副詞
come,VB,動詞 (原形)
could,MD,法
work,NN,名詞
use,NN,名詞
than,IN,前置詞または従属接続詞
now,RB,副詞
then,RB,副詞
also,RB,副詞
into,IN,前置詞または従属接続詞
only,RB,副詞
look,NN,名詞
want,NN,名詞
give,VB,動詞 (原形)
first,RB,副詞
new,JJ,形容詞
way,NN,名詞
find,VB,動詞 (原形)
over,IN,前置詞または従属接続詞
any,DT,限定詞
after,IN,前置詞または従属接続詞
day,NN,名詞
where,WRB,Wh 副詞
thing,NN,名詞
most,JJS,形容詞 (最上級)
should,MD,法
need,NN,名詞
much,JJ,形容詞
right,NN,名詞
how,WRB,Wh 副詞
back,RB,副詞
mean,NN,名詞
even,RB,副詞
may,MD,法
here,RB,副詞
many,JJ,形容詞
such,JJ,形容詞
last,JJ,形容詞
child,NN,名詞
tell,NN,名詞
really,RB,副詞
call,NN,名詞
before,IN,前置詞または従属接続詞
company,NN,名詞
through,IN,前置詞または従属接続詞
down,RB,副詞
show,NN,名詞
life,NN,名詞
man,NN,名詞
change,NN,名詞
place,NN,名詞
long,RB,副詞
between,IN,前置詞または従属接続詞
feel,NN,名詞
too,RB,副詞
still,RB,副詞
problem,NN,名詞
write,NN,名詞
same,JJ,形容詞
lot,NN,名詞
great,JJ,形容詞
try,NN,名詞
leave,VB,動詞 (原形)
number,NN,名詞
both,DT,限定詞
own,JJ,形容詞
part,NN,名詞
point,NN,名詞
little,JJ,形容詞
help,NN,名詞
ask,NN,名詞
meet,NN,名詞
start,NN,名詞
talk,NN,名詞
something,NN,名詞
put,NN,名詞
another,DT,限定詞
become,NN,名詞
interest,NN,名詞
country,NN,名詞
old,JJ,形容詞
each,DT,限定詞
school,NN,名詞
late,RB,副詞
high,JJ,形容詞
different,JJ,形容詞
off,IN,前置詞または従属接続詞
next,JJ,形容詞
end,NN,名詞
live,JJ,形容詞
why,WRB,Wh 副詞
while,IN,前置詞または従属接続詞
world,NN,名詞
week,NN,名詞
play,NN,名詞
might,MD,法
must,MD,法
home,NN,名詞
never,RB,副詞
include,NN,名詞
course,NN,名詞
house,NN,名詞
report,NN,名詞
group,NN,名詞
case,NN,名詞
woman,NN,名詞
around,IN,前置詞または従属接続詞
book,NN,名詞
family,NN,名詞
seem,NN,名詞
let,VB,動詞 (原形)
again,RB,副詞
kind,NN,名詞
keep,VB,動詞 (原形)
hear,NN,名詞
system,NN,名詞
every,DT,限定詞
question,NN,名詞
during,IN,前置詞または従属接続詞
always,RB,副詞
big,JJ,形容詞
set,NN,名詞
small,JJ,形容詞
study,NN,名詞
follow,VB,動詞 (原形)
begin,NN,名詞
important,JJ,形容詞
since,IN,前置詞または従属接続詞
run,VB,動詞 (原形)
under,IN,前置詞または従属接続詞
turn,NN,名詞
few,JJ,形容詞
bring,NN,名詞
early,RB,副詞
hand,NN,名詞
state,NN,名詞
move,NN,名詞
money,NN,名詞
fact,NN,名詞
however,RB,副詞
area,NN,名詞
provide,NN,名詞
name,NN,名詞
read,NN,名詞
friend,NN,名詞
month,NN,名詞
large,JJ,形容詞
business,NN,名詞
without,IN,前置詞または従属接続詞
information,NN,名詞
open,JJ,形容詞
order,NN,名詞
government,NN,名詞
word,NN,名詞
issue,NN,名詞
market,NN,名詞
pay,NN,名詞
build,NN,名詞
hold,NN,名詞
service,NN,名詞
against,IN,前置詞または従属接続詞
believe,VB,動詞 (原形)
second,JJ,形容詞
though,IN,前置詞または従属接続詞
yes,NNS,名詞 (複数形)
love,NN,名詞
increase,NN,名詞
job,NN,名詞
plan,NN,名詞
result,NN,名詞
away,RB,副詞
example,NN,名詞
happen,VB,動詞 (原形)
offer,NN,名詞
young,JJ,形容詞
close,RB,副詞
program,NN,名詞
lead,NN,名詞
buy,VB,動詞 (原形)
understand,NN,名詞
thank,NN,名詞
far,RB,副詞
today,NN,名詞
hour,NN,名詞
student,NN,名詞
face,NN,名詞
hope,NN,名詞
idea,NN,名詞
cost,NN,名詞
less,RBR,副詞 (比較級)
room,NN,名詞
until,IN,前置詞または従属接続詞
reason,NN,名詞
form,NN,名詞
spend,NN,名詞
head,NN,名詞
car,NN,名詞
learn,NN,名詞
level,NN,名詞
person,NN,名詞
experience,NN,名詞
once,RB,副詞
member,NN,名詞
enough,RB,副詞
bad,JJ,形容詞
city,NN,名詞
night,NN,名詞
able,JJ,形容詞
support,NN,名詞
whether,IN,前置詞または従属接続詞
line,NN,名詞
present,NN,名詞
side,NN,名詞
quite,RB,副詞
although,IN,前置詞または従属接続詞
sure,NN,名詞
term,NN,名詞
least,JJS,形容詞 (最上級)
age,NN,名詞
low,JJ,形容詞
speak,NN,名詞
within,IN,前置詞または従属接続詞
process,NN,名詞
public,NN,名詞
often,RB,副詞
train,NN,名詞
possible,JJ,形容詞
actually,RB,副詞
rather,RB,副詞
view,NN,名詞
together,RB,副詞
consider,VB,動詞 (原形)
price,NN,名詞
parent,NN,名詞
hard,JJ,形容詞
party,NN,名詞
local,JJ,形容詞
control,NN,名詞
already,RB,副詞
concern,NN,名詞
product,NN,名詞
lose,VB,動詞 (原形)
story,NN,名詞
almost,RB,副詞
continue,NN,名詞
stand,NN,名詞
whole,JJ,形容詞
yet,RB,副詞
rate,NN,名詞
care,NN,名詞
expect,VB,動詞 (原形)
effect,NN,名詞
sort,NN,名詞
ever,RB,副詞
anything,NN,名詞
cause,NN,名詞
fall,NN,名詞
deal,NN,名詞
water,NN,名詞
send,NN,名詞
allow,VB,動詞 (原形)
soon,RB,副詞
watch,NN,名詞
base,NN,名詞
probably,RB,副詞
suggest,NN,名詞
past,NN,名詞
power,NN,名詞
test,NN,名詞
visit,NN,名詞
center,NN,名詞
grow,NN,名詞
nothing,NN,名詞
return,NN,名詞
mother,NN,名詞
walk,NN,名詞
matter,NN,名詞
mind,NN,名詞
value,NN,名詞
office,NN,名詞
record,NN,名詞
stay,NN,名詞
force,NN,名詞
stop,NN,名詞
several,JJ,形容詞
light,NN,名詞
develop,VB,動詞 (原形)
remember,VB,動詞 (原形)
bit,NN,名詞
share,NN,名詞
real,JJ,形容詞
answer,NN,名詞
sit,NN,名詞
figure,NN,名詞
letter,NN,名詞
decide,NN,名詞
language,NN,名詞
subject,NN,名詞
class,NN,名詞
development,NN,名詞
town,NN,名詞
half,NN,名詞
minute,NN,名詞
food,NN,名詞
break,NN,名詞
clear,JJ,形容詞
future,NN,名詞
either,DT,限定詞
ago,RB,副詞
per,IN,前置詞または従属接続詞
remain,NN,名詞
top,NN,名詞
among,IN,前置詞または従属接続詞
win,NN,名詞
color,NN,名詞
involve,NN,名詞
reach,NN,名詞
social,JJ,形容詞
period,NN,名詞
across,IN,前置詞または従属接続詞
note,NN,名詞
history,NN,名詞
create,NN,名詞
drive,NN,名詞
along,IN,前置詞または従属接続詞
type,NN,名詞
sound,NN,名詞
eye,NN,名詞
music,NN,名詞
game,NN,名詞
political,JJ,形容詞
free,JJ,形容詞
receive,NN,名詞
moment,NN,名詞
sale,NN,名詞
policy,NN,名詞
further,RB,副詞
body,NN,名詞
require,NN,名詞
wait,NN,名詞
general,JJ,形容詞
appear,VB,動詞 (原形)
toward,IN,前置詞または従属接続詞
team,NN,名詞
easy,JJ,形容詞
individual,JJ,形容詞
full,JJ,形容詞
black,JJ,形容詞
sense,NN,名詞
perhaps,RB,副詞
add,VB,動詞 (原形)
rule,NN,名詞
pass,NN,名詞
produce,NN,名詞
sell,NN,名詞
short,JJ,形容詞
agree,NN,名詞
law,NN,名詞
everything,NN,名詞
research,NN,名詞
cover,NN,名詞
paper,NN,名詞
position,NN,名詞
near,IN,前置詞または従属接続詞
human,NN,名詞
computer,NN,名詞
situation,NN,名詞
staff,NN,名詞
activity,NN,名詞
film,NN,名詞
morning,NN,名詞
war,NN,名詞
account,NN,名詞
shop,NN,名詞
major,JJ,形容詞
someone,NN,名詞
above,IN,前置詞または従属接続詞
design,NN,名詞
event,NN,名詞
special,JJ,形容詞
sometimes,RB,副詞
condition,NN,名詞
carry,NN,名詞
choose,NN,名詞
father,NN,名詞
decision,NN,名詞
table,NN,名詞
certain,JJ,形容詞
forward,RB,副詞
main,JJ,形容詞
die,NN,名詞
bear,NN,名詞
cut,NN,名詞
describe,NN,名詞
himself,PRP,人称代名詞 (PP)
available,JJ,形容詞
especially,RB,副詞
strong,JJ,形容詞
rise,NN,名詞
girl,NN,名詞
maybe,RB,副詞
community,NN,名詞
else,RB,副詞
particular,JJ,形容詞
role,NN,名詞
join,NN,名詞
difficult,JJ,形容詞
please,NN,名詞
detail,NN,名詞
difference,NN,名詞
action,NN,名詞
health,NN,名詞
eat,NN,名詞
step,NN,名詞
true,JJ,形容詞
phone,NN,名詞
themselves,PRP,人称代名詞 (PP)
draw,NN,名詞
white,JJ,形容詞
date,NN,名詞
practice,NN,名詞
model,NN,名詞
raise,NN,名詞
customer,NN,名詞
front,NN,名詞
explain,NN,名詞
door,NN,名詞
outside,IN,前置詞または従属接続詞
behind,IN,前置詞または従属接続詞
economic,JJ,形容詞
site,NN,名詞
approach,NN,名詞
teacher,NN,名詞
land,NN,名詞
charge,NN,名詞
finally,RB,副詞
sign,NN,名詞
claim,NN,名詞
relationship,NN,名詞
travel,NN,名詞
enjoy,NN,名詞
death,NN,名詞
nice,JJ,形容詞
amount,NN,名詞
improve,VB,動詞 (原形)
picture,NN,名詞
boy,NN,名詞
regard,NN,名詞
organization,NN,名詞
happy,JJ,形容詞
couple,NN,名詞
act,NN,名詞
range,NN,名詞
quality,NN,名詞
project,NN,名詞
round,NN,名詞
opportunity,NN,名詞
road,NN,名詞
accord,NN,名詞
list,NN,名詞
wish,NN,名詞
therefore,RB,副詞
wear,NN,名詞
fund,NN,名詞
rest,NN,名詞
kid,NN,名詞
industry,NN,名詞
education,NN,名詞
measure,NN,名詞
kill,NN,名詞
serve,NN,名詞
likely,JJ,形容詞
certainly,RB,副詞
national,JJ,形容詞
itself,PRP,人称代名詞 (PP)
teach,NN,名詞
field,NN,名詞
security,NN,名詞
air,NN,名詞
benefit,NN,名詞
trade,NN,名詞
risk,NN,名詞
news,NN,名詞
standard,NN,名詞
vote,NN,名詞
percent,NN,名詞
focus,NN,名詞
stage,NN,名詞
space,NN,名詞
instead,RB,副詞
realize,VB,動詞 (原形)
usually,RB,副詞
data,NNS,名詞 (複数形)
single,JJ,形容詞
address,NN,名詞
performance,NN,名詞
chance,NN,名詞
accept,NN,名詞
society,NN,名詞
technology,NN,名詞
mention,NN,名詞
choice,NN,名詞
save,VB,動詞 (原形)
common,JJ,形容詞
culture,NN,名詞
total,JJ,形容詞
demand,NN,名詞
material,NN,名詞
limit,NN,名詞
listen,NN,名詞
due,JJ,形容詞
wrong,JJ,形容詞
foot,NN,名詞
effort,NN,名詞
attention,NN,名詞
upon,IN,前置詞または従属接続詞
check,NN,名詞
complete,JJ,形容詞
lie,NN,名詞
pick,NN,名詞
reduce,VB,動詞 (原形)
personal,JJ,形容詞
ground,NN,名詞
animal,NN,名詞
arrive,JJ,形容詞
patient,NN,名詞
current,JJ,形容詞
century,NN,名詞
evidence,NN,名詞
exist,NN,名詞
similar,JJ,形容詞
fight,NN,名詞
leader,NN,名詞
fine,NN,名詞
street,NN,名詞
former,JJ,形容詞
contact,NN,名詞
particularly,RB,副詞
wife,NN,名詞
sport,NN,名詞
prepare,NN,名詞
discuss,NN,名詞
response,NN,名詞
voice,NN,名詞
piece,NN,名詞
finish,NN,名詞
suppose,NN,名詞
apply,VB,動詞 (原形)
president,NN,名詞
fire,NN,名詞
compare,NN,名詞
court,NN,名詞
police,NNS,名詞 (複数形)
store,NN,名詞
poor,JJ,形容詞
knowledge,NN,名詞
laugh,NN,名詞
arm,NN,名詞
heart,NN,名詞
source,NN,名詞
employee,NN,名詞
manage,NN,名詞
simply,RB,副詞
bank,NN,名詞
firm,NN,名詞
cell,NN,名詞
article,NN,名詞
fast,NN,名詞
attack,NN,名詞
foreign,JJ,形容詞
surprise,NN,名詞
feature,NN,名詞
factor,NN,名詞
pretty,RB,副詞
recently,RB,副詞
affect,NN,名詞
drop,NN,名詞
recent,JJ,形容詞
relate,NN,名詞
official,NN,名詞
financial,JJ,形容詞
miss,NN,名詞
art,NN,名詞
campaign,NN,名詞
private,JJ,形容詞
pause,NN,名詞
everyone,NN,名詞
forget,NN,名詞
page,NN,名詞
worry,NN,名詞
summer,NN,名詞
drink,NN,名詞
opinion,NN,名詞
park,NN,名詞
represent,NN,名詞
key,NN,名詞
inside,IN,前置詞または従属接続詞
manager,NN,名詞
international,JJ,形容詞
contain,NN,名詞
notice,NN,名詞
wonder,NN,名詞
nature,NN,名詞
structure,NN,名詞
section,NN,名詞
myself,PRP,人称代名詞 (PP)
exactly,RB,副詞
plant,NN,名詞
paint,NN,名詞
worker,NN,名詞
press,NN,名詞
whatever,WDT,Wh 限定詞
necessary,JJ,形容詞
region,NN,名詞
growth,NN,名詞
evening,VBG,動詞 (動名詞または現在分詞)
influence,NN,名詞
respect,NN,名詞
various,JJ,形容詞
catch,NN,名詞
thus,RB,副詞
skill,NN,名詞
attempt,NN,名詞
son,NN,名詞
simple,NN,名詞
medium,NN,名詞
average,JJ,形容詞
stock,NN,名詞
management,NN,名詞
character,NN,名詞
bed,NN,名詞
hit,NN,名詞
establish,VB,動詞 (原形)
indeed,RB,副詞
final,JJ,形容詞
economy,NN,名詞
fit,NN,名詞
guy,NN,名詞
function,NN,名詞
yesterday,NN,名詞
image,NN,名詞
size,NN,名詞
behavior,NN,名詞
addition,NN,名詞
determine,NN,名詞
station,NN,名詞
population,NN,名詞
fail,NN,名詞
environment,NN,名詞
production,NN,名詞
contract,NN,名詞
player,NN,名詞
comment,NN,名詞
enter,NN,名詞
occur,NN,名詞
alone,RB,副詞
significant,JJ,形容詞
drug,NN,名詞
wall,NN,名詞
series,NN,名詞
direct,JJ,形容詞
success,NN,名詞
tomorrow,NN,名詞
director,NN,名詞
clearly,RB,副詞
lack,NN,名詞
review,NN,名詞
depend,NN,名詞
race,NN,名詞
recognize,VB,動詞 (原形)
window,NN,名詞
purpose,NN,名詞
department,NN,名詞
gain,NN,名詞
tree,NN,名詞
college,NN,名詞
argue,NN,名詞
board,NN,名詞
holiday,NN,名詞
mark,NN,名詞
church,NN,名詞
machine,NN,名詞
achieve,NN,名詞
item,NN,名詞
prove,NN,名詞
cent,NN,名詞
season,NN,名詞
floor,NN,名詞
stuff,NN,名詞
wide,JJ,形容詞
anyone,NN,名詞
method,NN,名詞
analysis,NN,名詞
election,NN,名詞
military,JJ,形容詞
hotel,NN,名詞
club,NN,名詞
below,IN,前置詞または従属接続詞
movie,NN,名詞
doctor,NN,名詞
discussion,NN,名詞
sorry,NN,名詞
challenge,NN,名詞
nation,NN,名詞
nearly,RB,副詞
statement,NN,名詞
link,NN,名詞
despite,IN,前置詞または従属接続詞
introduce,NN,名詞
advantage,NN,名詞
ready,JJ,形容詞
marry,NN,名詞
strike,NN,名詞
mile,NN,名詞
seek,NN,名詞
ability,NN,名詞
unit,NN,名詞
card,NN,名詞
hospital,NN,名詞
quickly,RB,副詞
interview,NN,名詞
agreement,NN,名詞
release,NN,名詞
tax,NN,名詞
solution,NN,名詞
capital,NN,名詞
popular,JJ,形容詞
specific,JJ,形容詞
beautiful,NN,名詞
fear,NN,名詞
aim,NN,名詞
television,NN,名詞
serious,JJ,形容詞
target,NN,名詞
degree,NN,名詞
pull,NN,名詞
red,JJ,形容詞
husband,NN,名詞
access,NN,名詞
movement,NN,名詞
treat,NN,名詞
identify,VB,動詞 (原形)
loss,NN,名詞
shall,MD,法
modern,JJ,形容詞
pressure,NN,名詞
bus,NN,名詞
treatment,NN,名詞
yourself,PRP,人称代名詞 (PP)
supply,NN,名詞
village,NN,名詞
worth,NN,名詞
natural,JJ,形容詞
express,NN,名詞
indicate,NN,名詞
attend,NN,名詞
brother,NN,名詞
investment,NN,名詞
score,NN,名詞
organize,VB,動詞 (原形)
trip,NN,名詞
beyond,IN,前置詞または従属接続詞
sleep,NN,名詞
fish,NN,名詞
promise,NN,名詞
potential,JJ,形容詞
energy,NN,名詞
trouble,NN,名詞
relation,NN,名詞
touch,NN,名詞
file,NN,名詞
middle,NN,名詞
bar,NN,名詞
suffer,NN,名詞
strategy,NN,名詞
deep,NN,名詞
except,IN,前置詞または従属接続詞
clean,NN,名詞
tend,NN,名詞
advance,NN,名詞
fill,NN,名詞
star,NN,名詞
network,NN,名詞
generally,RB,副詞
operation,NN,名詞
match,NN,名詞
avoid,NN,名詞
seat,NN,名詞
throw,NN,名詞
task,NN,名詞
normal,JJ,形容詞
goal,NN,名詞
associate,NN,名詞
blue,NN,名詞
positive,JJ,形容詞
option,NN,名詞
box,NN,名詞
huge,JJ,形容詞
message,NN,名詞
instance,NN,名詞
style,NN,名詞
refer,NN,名詞
cold,NN,名詞
push,NN,名詞
quarter,NN,名詞
assume,VB,動詞 (原形)
baby,NN,名詞
successful,JJ,形容詞
sing,VBG,動詞 (動名詞または現在分詞)
doubt,NN,名詞
competition,NN,名詞
theory,NN,名詞
propose,NN,名詞
reference,NN,名詞
argument,NN,名詞
adult,NN,名詞
fly,NN,名詞
document,NN,名詞
pattern,NN,名詞
application,NN,名詞
hot,JJ,形容詞
obviously,RB,副詞
unclear,JJ,形容詞
bill,NN,名詞
search,NN,名詞
separate,JJ,形容詞
central,JJ,形容詞
career,NN,名詞
anyway,RB,副詞
speech,NN,名詞
dog,NN,名詞
officer,NN,名詞
throughout,IN,前置詞または従属接続詞
oil,NN,名詞
dress,NN,名詞
profit,NN,名詞
guess,NN,名詞
fun,NN,名詞
protect,NN,名詞
resource,NN,名詞
science,NN,名詞
disease,NN,名詞
balance,NN,名詞
damage,NN,名詞
basis,NN,名詞
author,NN,名詞
basic,JJ,形容詞
encourage,NN,名詞
hair,NN,名詞
male,NN,名詞
operate,NN,名詞
reflect,NN,名詞
exercise,NN,名詞
useful,JJ,形容詞
restaurant,NN,名詞
income,NN,名詞
property,NN,名詞
previous,JJ,形容詞
dark,NN,名詞
imagine,NN,名詞
okay,NN,名詞
earn,NN,名詞
daughter,NN,名詞
post,NN,名詞
newspaper,NN,名詞
define,NN,名詞
conclusion,NN,名詞
clock,NN,名詞
everybody,NN,名詞
weekend,NN,名詞
perform,NN,名詞
professional,JJ,形容詞
mine,NN,名詞
debate,NN,名詞
memory,NN,名詞
green,JJ,形容詞
song,NN,名詞
object,NN,名詞
maintain,NN,名詞
credit,NN,名詞
ring,NN,名詞
discover,NN,名詞
dead,JJ,形容詞
afternoon,NN,名詞
prefer,NN,名詞
extend,NN,名詞
possibility,NN,名詞
direction,NN,名詞
